WORD,COUNT
절차,249
최선,249
조정,249
육아,248
거부,248
여야,247
구조,247
일선,247
자연,246
2년,246
각종,245
효과,245
의장,245
인터넷,244
제안,244
언론,243
직업,243
진학,243
노래,242
신설,242
학기,242
친구들,242
모집,241
추산,241
연결,241
진단,241
간담회,241
SNS,240
향상,240
대화,240
제작,240
감독,240
훈련,239
협의,239
메시지,239
여자,239
그림,238
출신,238
형사,238
제지,237
유아,237
해석,236
산업,236
통과,235
강사,235
운전자,234
지능,234
콘텐츠,233
개학,233
존재,233
진로,233
공감,231
인생,231
확산,230
생활지도,230
당부,230
금융,230
글로벌,230
2명,229
인재,229
의무,229
법률,228
사항,228
반발,228
아빠,228
발달,227
운전,227
단축,226
철저,226
증거,226
전시,226
철회,226
최씨,226
베트남,226
투자,225
머리,224
총리,224
분들,222
교통안전,222
성공,221
전쟁,221
현장체험학습,221
소재,220
지시,220
평균,220
교회,219
증설,219
공문,218
작성,217
장군,217
지자체,217
교체,217
공무,217
고양시,216
얼굴,216
할머니,216
유튜브,216
시험,215
10년,215
바다,215
어린이집,215
추정,215
유가족,215
분양,215
부부,215
것들,214
승진,214
단계,213
남편,213
사유,213
다수,213
강원,213
골프,213
응원,212
당장,211
리포트,211
소년,210
북한,210
본인,209
선고,209
방향,209
3일,209
해소,209
빈소,209
스마트폰,209
순직,209
이틀,208
경쟁,208
축구,208
학교폭력,208
영재,208
강간,207
정상적,206
교육당국,206
여름,206
움직임,205
전담,205
동원,205
난동,204
투입,204
임시휴업,204
청년,204
해임,203
늘봄학교,203
변경,202
초등교사,202
장애인,202
번째,202
무대,202
통화,202
서이,202
경북,202
항의,201
반복,201
완화,201
인기,201
홍보,201
YTN,201
정문,201
충격,200
지부,199
여의도,199
학사,199
후쿠시마,198
범위,197
직장,197
축제,197
비율,196
요즘,196
진상규명,196
파면,196
구속,196
유명,195
지구,195
적응,195
공동체,194
수요,194
차이,194
경고,194
,193
주민들,193
제시,193
교직원,193
계약,192
국제,191
방지,191
위협,191
일상,191
공공,191
시간대,191
모임,190
별도,190
학습권,190
해외,189
동시,189
수산물,189
전국교직원노동조합,188
특정,188
A군,188
건물,187
취재,187
입법,187
징역,186
핵심,186
얼마,186
불편,186
인공지능,186
유서,186
과목,185
제품,185
도전,185
운동장,185
기획,185
통학버스,185
재해,185
7일,184
동기,184
생명,184
고성,184
살해,184
대통령실,184
서울과학고,184
업체,183
순간,183
형성,183
고향,182
자택,181
프로젝트,181
극단적,181
초교,181
기본,181
대로,180
휴가,180
심리,180
야당,180
법제처,180
6월,180
세종시,180
전년,180
소송,179
애도,179
5년,179
청주,179
체험학습,179
10시,179
동네,178
7시,178
사태,178
교과서,178
동백대교,178
근거,177
1명,177
마무리,177
백강현,177
4년,176
공식,176
재판,176
의도,176
사정,176
재판부,175
부탁,175
무료,175
어린이보호구역,175
결혼,175
관악구,175
주호민,175
의식,174
국민의힘,174
입시,174
형태,174
녹음,174
9시,174
작업,174
5일,173
피아노,173
인간,173
동창,173
증언,173
잼버리,173
경영,173
독서,173
유지,172
위원,172
우울증,172
강경,172
동의,172
홈페이지,171
태도,171
야구,171
한편,170
마감,170
가슴,170
신규,170
가해자,169
국민들,169
학력,169
공백,168
비용,168
평생,168
출연,168
3명,168
8월,168
교육계,167
통보,167
한글,167
교직,166
규제,166
코로나19,166
제목,166
영화,166
심사,166
스포츠,166
언어,166
지침,166
동물,166
강현이,166
청소년들,165
양성,165
차지,165
기념,165
중등,165
제보,164
정황,164
참가자,164
착수,164
고등학생,164
홍범도,164
바람,164
포렌식,164
생전,163
유족들,163
현황,163
하교,163
현지,162
설문,162
3월,162
흉상,162
주목,162
압박,161
문의,161
대처,161
답변,161
전용,161
4시,161
신체,160
약속,160
연습,160
최종,160
그룹,160
제자,159
교내,158
캠페인,158
신속,157
사업장,157
다문화,157
이재명,157
여학생,157
자제,157
10월,156
바탕,156
파견,156
단순,156
건립,156
중학생,156
장학사,155
토로,155
환자,154
여당,154
장례식장,154
특성,153
추모일,153
양육,153
CCTV,153
임태희,153
전환,152
용인,152
대전시교육청,152
소지,152
가족들,152
인공,152
자살,151
9일,151
지방,151
질병,151
코딩,151
설계,151
의사당,151
후원,150
접근,150
시도교육청,150
과도,150
장기,150
플랫폼,150
악성민원,149
등장,149
비극,149
주의,149
거주,149
일대,149
17일,149
비난,148
합의,148
권한,148
교원단체,148
개교,148
전기차,148
발굴,148
왕자,148
절반,147
기초,147
단식,147
2일,147
너클,147
여론,146
교과,146
10일,146
교육과정,146
